armstrong_russellrsion Name.jpg	Title	Urgency	Categories	Suppl. Categories	Keywords	Instructions	Date Created	Author	Authors Position	City	State/Province	Country	Transmission Reference	Headline	Credit	Source	Copyright Notice	Caption	Caption Writer	Rating
armstrong_russell_0855.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0856.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0857.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0858.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0860.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0861.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0862.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0863.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0864.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0865.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Questions from the front of house		1
armstrong_russell_0866.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Questions from the front of house		1
armstrong_russell_0867.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Questions from the front of house		1
armstrong_russell_0868.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0869.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0870.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong, Russell Armstrong with his pastry chef		1
armstrong_russell_0871.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong, Russell Armstrong with his pastry chef		1
armstrong_russell_0872.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong, Russell Armstrong with his pastry chef		1
armstrong_russell_0873.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his second		1
armstrong_russell_0874.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his second		1
armstrong_russell_0876.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his second		1
armstrong_russell_0877.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his second		1
armstrong_russell_0878.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his second		1
armstrong_russell_0879.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his second		1
armstrong_russell_0881.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0882.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0883.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0885.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0886.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0887.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0888.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0891.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0892.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0893.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his second		1
armstrong_russell_0894.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0895.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his brigade		1
armstrong_russell_0896.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0897.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0898.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0899.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0900.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0901.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong, Russell Armstrong with his pastry chef		1
armstrong_russell_0902.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with the full team		1
armstrong_russell_0903.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with the full team		1
armstrong_russell_0904.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with the full team		1
armstrong_russell_0905.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his brigade		1
armstrong_russell_0906.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Part of the brigade fires up		1
